<<<<<<< HEAD
백탁현상있네요 아이 선크림은 백탁현상 있는건 별로인데 ㅠ 백탁현상이 있네요그래도 선크림치고 퍽퍽한 재질은 아니어서 아이 몸에 발라주긴 편했는데얼굴이랑 몸에 선크림 바르고 해수백탁현상있네요 아이 선크림은 백탁현상 있는건 별로인데 ㅠ 백탁현상이 있네요그래도 선크림치고 퍽퍽한 재질은 아니어서 아이 몸에 발라주긴 편했는데얼굴이랑 몸에 선크림 바르고 해수욕장 모래사장에서 30분 놀았는데 피부가 빨개지기 시작하더니 1시간 놀고나서 아기 씻기고 텐트에서 확인해보니 탔네요 ㅎㅎㅎ돌쟁이 아가라 바다에 들어가지도 않고 모래놀이만 했는데 선크림 발라도 타긴타는가봐요,부정
디메치콘 없는 썬크림 찾다가 순하다고 해서 구매해봤어요처음에 쭈욱 나와서 많이 발랐더니 백탁 있어 아이쿠 했는데두번째 살짝 짜서 얋게 바르니 스며들어 백탁 크게 없이 베이스 정도디메치콘 없는 썬크림 찾다가 순하다고 해서 구매해봤어요처음에 쭈욱 나와서 많이 발랐더니 백탁 있어 아이쿠 했는데두번째 살짝 짜서 얋게 바르니 스며들어 백탁 크게 없이 베이스 정도의 느낌 나네요 썬크림 데일리로 쓰는거라 순한거 찾았는데 몇일 써본 결과 나쁘지 않네요 좀더 써볼 생각입니다,부정
향이 좀 진한거 같은데 아이들은 달콤한 향이라고 좋아하네요얼굴에 바르면 좀 끈적이고여 하얘져서 잘 펴발라 줘야하요 산뜻한 느낌은 아니에여다음엔 좀 하얘지지 않고 산뜻한 느낌을 향이 좀 진한거 같은데 아이들은 달콤한 향이라고 좋아하네요얼굴에 바르면 좀 끈적이고여 하얘져서 잘 펴발라 줘야하요 산뜻한 느낌은 아니에여다음엔 좀 하얘지지 않고 산뜻한 느낌을 사보고 싶네요 상품평이 좋아서 사봤는데 저는 뭐 그냥개인의 취향이니까요,부정
일단 향도 별로 없고 자극이 없습니다 백탁이 있는 묵직한 질감이라 제가 생각했던 것과 다른데 그치만 끈적이지 않고 빠르게 흡수됩니다 spf지수가 좀 낮은게 아쉬워요 제가 일단 향도 별로 없고 자극이 없습니다 백탁이 있는 묵직한 질감이라 제가 생각했던 것과 다른데 그치만 끈적이지 않고 빠르게 흡수됩니다 spf지수가 좀 낮은게 아쉬워요 제가 햇볕알러지가 있어서  확실히 차단은 덜되는거 같아요,부정
민감성피부라 제가 바르려고 산건데 나쁘진 않으나 생각한거랑은 좀 다르네요자극은 없고 향도 괜찮고 끈적임도 적은데백탁이 좀 있는 편이라 아무래도 많이 두드려줘야하는거같아요제가 백민감성피부라 제가 바르려고 산건데 나쁘진 않으나 생각한거랑은 좀 다르네요자극은 없고 향도 괜찮고 끈적임도 적은데백탁이 좀 있는 편이라 아무래도 많이 두드려줘야하는거같아요제가 백탁있는걸 안좋아해서  재구매는 생각해봐야할듯합니다,부정
백탁이 좀 있군요성인용 다른거 바르다가 바꿔봤는데 적당히 문지르고 하루종일 다니다 들어왔더니 밤에 불빛에 얼굴이얼굴이허연 귀신같이바르고나서 좀 오래백탁이 좀 있군요성인용 다른거 바르다가 바꿔봤는데 적당히 문지르고 하루종일 다니다 들어왔더니 밤에 불빛에 얼굴이얼굴이허연 귀신같이바르고나서 좀 오래 문질러줘야하는군요양도 조금만 쓰고어쨌든 잘 바를게요,부정
늘 여름마다 여기서 수딩젤 쓰다가요번에 썬크림 구매해보았어요일단 제형은 보습밤처럼 처음에는 잘 발라질까 생각했는데 생각보다 발림 성도 좋고 애기 피부가 쫀득쫀득하니 촉촉하게 유지늘 여름마다 여기서 수딩젤 쓰다가요번에 썬크림 구매해보았어요일단 제형은 보습밤처럼 처음에는 잘 발라질까 생각했는데 생각보다 발림 성도 좋고 애기 피부가 쫀득쫀득하니 촉촉하게 유지시켜주네요자외선 차단이 얼마나 될지 모르지만 썬크림 하면 뚜껑주변으로 흘러 내리고 새고 그러는데 이건 그럴 염려는 없을 듯 해요사이즈도 여름 딱 쓰고 휴대 하기도 간편해요!!,긍정
무기자차이고 순한 선크림이라서 안심되네요! 그리고 보습이 굉장히 잘 되어요 오렌지향이 나길래 향료를 썼나? 했는데 여러가지 추출 오일이 들어있더라구요! 살짝 무겁게 느껴질 수 무기자차이고 순한 선크림이라서 안심되네요! 그리고 보습이 굉장히 잘 되어요 오렌지향이 나길래 향료를 썼나? 했는데 여러가지 추출 오일이 들어있더라구요! 살짝 무겁게 느껴질 수 있지만 건성에겐 둘도 없는 선크림이 될 거에요! 바른 당장은 백탁이 심해보이지만 조금만 두드리면 백탁이 없어진답니다 ㅎㅎ 제가 무기자차를 꾸준히 쓰고있는데 건성용선크림으로 좋을 것 같아요!  #아토보스#베이비썬크림#무기자차썬크림 #순한썬크림 #천연썬크림#리뷰쉐어#ad4개의 포토리뷰4개의 포토리뷰4개의 포토리뷰4개의 포토리뷰,긍정
아토보스가 아기들을 위한 베이비썬크림으로 유명하다고 해서 구매했어요 친구 아기한테 줄 선물이라 신경이 많이 쓰여서 많이 알아보고 구매한거에요 ㅎㅎ 제가 미리 직접사서 써보니 무기아토보스가 아기들을 위한 베이비썬크림으로 유명하다고 해서 구매했어요 친구 아기한테 줄 선물이라 신경이 많이 쓰여서 많이 알아보고 구매한거에요 ㅎㅎ 제가 미리 직접사서 써보니 무기자차썬크림이라서 그런지 성분자체가 확실히 좋고 순한썬크림이라서 넘나 만족! 천연썬크림이라고 하니 친구 아기한테 좋은 선물이 될 듯합니다 다음에 재구매할래요!!!5개의 포토리뷰5개의 포토리뷰5개의 포토리뷰5개의 포토리뷰5개의 포토리뷰,긍정
아토보스 베이비썬크림 주변지인에게 추천받아 구매해보았어요!아기첫선크림이라 이것저것 많이 비교해보고 구매했는데요일단 발림성이 부드러워서 좋았어요부드럽게 펴발린후에 첨에 끈적한가? 했아토보스 베이비썬크림 주변지인에게 추천받아 구매해보았어요!아기첫선크림이라 이것저것 많이 비교해보고 구매했는데요일단 발림성이 부드러워서 좋았어요부드럽게 펴발린후에 첨에 끈적한가? 했지만 금방흡수되어서 산뜻했어요! 아무래도 아기에게 사용할 썬크림이라 순한썬크림을 찾아보려고 했는데 천연썬크림이라는 주변지인의 말에 검색해보고 비교해보고 구매했는데 일단 너무 만족해요!유기자차썬크림 무기자차썬크림 모르던 용어들을 아가키우면서 공부하게되네요 ㅋㅋ 무기자차란?피부 속에서 자외선을 분해시키는 유기자차와는 달리 피부에 얇은 막을 씌워 자외선을 튕겨내는 물리적 자외선 차단 방식을 뜻한다아토보스 베이비썬크림은 무기자차썬크림으로 더 마음놓고 구매하셔서 사용하셔도 좋을것같아요!우리아가 피부는 소중하잖아요?완전 추천이에요!2개의 포토리뷰2개의 포토리뷰,긍정
외출이생기니 금방 얼굴이타서주문했는데 크게백탁현상없고  연한아기피부에 믿고쓸수있어서 좋아요 지수가높진않은데 아이피부에너무 선크림지수높은건 안좋다고들어서 일상생활용으로 좋은거같아요외출이생기니 금방 얼굴이타서주문했는데 크게백탁현상없고  연한아기피부에 믿고쓸수있어서 좋아요 지수가높진않은데 아이피부에너무 선크림지수높은건 안좋다고들어서 일상생활용으로 좋은거같아요 미끄덩거리지않고 흡수가잘되서좋으네요 아이흰피부 쭉유지되길,긍정
예민한피부 아가들은 비추입니다  첫째 아이는  발라도 이상이 없는데둘째는 아토성 피부인데 바른첫날 양볼이 홍조있는것 마냥 빨갛네요 ㅠㅠ 처음엔 한쪽 볼만빨개져서 자다일어나 그러나예민한피부 아가들은 비추입니다  첫째 아이는  발라도 이상이 없는데둘째는 아토성 피부인데 바른첫날 양볼이 홍조있는것 마냥 빨갛네요 ㅠㅠ 처음엔 한쪽 볼만빨개져서 자다일어나 그러나 했는데 시간이 갈수록 양쪽이 다 그래요피부 약하거나 예민한 아가들은 비추입니다,부정
마스크쓸때도 자외선차단은필수에요이제품은 트러블없이 얇게잘발라지고 번들거림도적어요어린아이들도쓸수있는제품이라 저도안심하고쓰고있어요!휴대하기도 좋은사이즈라 중간중간발라주기도좋아요마스크쓸때도 자외선차단은필수에요이제품은 트러블없이 얇게잘발라지고 번들거림도적어요어린아이들도쓸수있는제품이라 저도안심하고쓰고있어요!휴대하기도 좋은사이즈라 중간중간발라주기도좋아요4개의 포토리뷰4개의 포토리뷰4개의 포토리뷰4개의 포토리뷰,긍정
좋아요 후기에 백탁이 심하다고 되어있어서 걱정했는데 심하지 않고 잘 흡수 시키면 톤업크림 바른 정도 되네요 괜찮았어요 아이들 바를 려고 구매한거지만 제가 먼저 테스트 해 봤는데 좋아요 후기에 백탁이 심하다고 되어있어서 걱정했는데 심하지 않고 잘 흡수 시키면 톤업크림 바른 정도 되네요 괜찮았어요 아이들 바를 려고 구매한거지만 제가 먼저 테스트 해 봤는데 트러블 안나서 만족해요 첨엔 약간 끈적 거리는데 시간 지나면 괜찮아졌어요 향도 강하지 않아서 거부감 없었네요 만족합니다,긍정
선크림 냄새 별로안좋아하는데 이거는 향도 은은해서 괜찮고 끈적임이 없고 피부가 촉촉  쫀쫀해지는거같아요선크림 냄새 별로안좋아하는데 이거는 향도 은은해서 괜찮고 끈적임이 없고 피부가 촉촉  쫀쫀해지는거같아요4개의 포토리뷰4개의 포토리뷰4개의 포토리뷰4개의 포토리뷰,긍정
아토보스 선크림 좋아용 요새 날씨가 하도 더워서 아기 썬크림을 뭘사줘야 할지 고민하다가 아토보스꺼가 후기도 좋고 순하다는 말 듣고 사려고 했는데 마침 세일까지 해서 냉큼 주문했네요아토보스 선크림 좋아용 요새 날씨가 하도 더워서 아기 썬크림을 뭘사줘야 할지 고민하다가 아토보스꺼가 후기도 좋고 순하다는 말 듣고 사려고 했는데 마침 세일까지 해서 냉큼 주문했네요 ㅎㅎ 제발 우리 아기 트러블없이 잘 맞았으면 좋겠어요,긍정
순하고 좋아요다른 썬크림은 바르면 여드름이 올라오거나 너무 기름이 생겨서 썬크림을 잘 안발랐는데요이건 얼굴에 아무것도 안나고 좋네요계속 이용해야겠어요순하고 좋아요다른 썬크림은 바르면 여드름이 올라오거나 너무 기름이 생겨서 썬크림을 잘 안발랐는데요이건 얼굴에 아무것도 안나고 좋네요계속 이용해야겠어요2개의 포토리뷰2개의 포토리뷰,긍정
선크림 주문해봤어요6살 아이 발라주려고 샀어요생각보다 제가 너무 많이 짜서 허얘져서 깜놀 ㅋㅋ소량만 짜서 발라주니까 잘 스며들고 좋아요선크림 주문해봤어요6살 아이 발라주려고 샀어요생각보다 제가 너무 많이 짜서 허얘져서 깜놀 ㅋㅋ소량만 짜서 발라주니까 잘 스며들고 좋아요2개의 포토리뷰2개의 포토리뷰,긍정
아이가 늘 쓰던제품이에요다른건 끈적거리는지 안바르려고 하는데 아토보스는 잘 쓰네요샘플을 이리 많이 주시다니 너무 감사합니다아이가 늘 쓰던제품이에요다른건 끈적거리는지 안바르려고 하는데 아토보스는 잘 쓰네요샘플을 이리 많이 주시다니 너무 감사합니다2개의 포토리뷰2개의 포토리뷰,긍정
요즘 날씨가 따뜻해져 아이랑 유모차타고 산책 자주나갈때 사용하는데 사용후 트러블도 없고 피부에 촉촉하게 며들어서 만족합니다요즘 날씨가 따뜻해져 아이랑 유모차타고 산책 자주나갈때 사용하는데 사용후 트러블도 없고 피부에 촉촉하게 며들어서 만족합니다2개의 포토리뷰2개의 포토리뷰,긍정
조카주려고 샀는데 어쩜 너무 순해서 저도 하나 사야겠어요 무엇보다 흡수가 잘되서 좋아요신생아부터 전부 쓸 수 있다니 안심하고 선물 할 수 있을 것 같아요 굿 조카주려고 샀는데 어쩜 너무 순해서 저도 하나 사야겠어요 무엇보다 흡수가 잘되서 좋아요신생아부터 전부 쓸 수 있다니 안심하고 선물 할 수 있을 것 같아요 굿 2개의 포토리뷰2개의 포토리뷰,긍정
봄맞이 우리아기 자외선차단제로 선택한 아토보스입니다 아토보스크림을 평소에 쓰다보니 자외선차단제도 순한 아토보스 선크림으로 결정했네요 흡수력도 좋고 향도 자극적이지 않아 아봄맞이 우리아기 자외선차단제로 선택한 아토보스입니다 아토보스크림을 평소에 쓰다보니 자외선차단제도 순한 아토보스 선크림으로 결정했네요 흡수력도 좋고 향도 자극적이지 않아 아이가 바를때 거부감없어 좋아요2개의 포토리뷰2개의 포토리뷰,긍정
두 통째 쓰고있어요 백탁없어서 아이와 저 같이 쓰고 있어요 순하고 기능 좋고 해서 요즘 요거 하나면 외출 끝이에요두 통째 쓰고있어요 백탁없어서 아이와 저 같이 쓰고 있어요 순하고 기능 좋고 해서 요즘 요거 하나면 외출 끝이에요2개의 포토리뷰2개의 포토리뷰,긍정
매번 사는 썬크림이에요 적당히 촉촉하고 자외선차단도 잘됩니다 예민한 피부에도 부담없이 쓸 수있어서 온가족이 쓰기에도 좋아용매번 사는 썬크림이에요 적당히 촉촉하고 자외선차단도 잘됩니다 예민한 피부에도 부담없이 쓸 수있어서 온가족이 쓰기에도 좋아용2개의 포토리뷰2개의 포토리뷰,긍정
성분이 안심되어 강추 이것저것 써도 무언가 불편해 맨얼굴다니고있다 동생이  언니! 화해화장품성분분석앱에서보아도 성분이 좋아 언니같이 예민자좋을것같아 얼른 주문 바로 사용역성분이 안심되어 강추 이것저것 써도 무언가 불편해 맨얼굴다니고있다 동생이  언니! 화해화장품성분분석앱에서보아도 성분이 좋아 언니같이 예민자좋을것같아 얼른 주문 바로 사용역쉬 유해성분없고 순해요 무엇보다도 눈이 안따가와  좋아요 좋은제품알아 기분좋아요,긍정
천연성분 유래 아기 썬크림 해외여행 가게 되어 물놀이를 위해 구입하게 되었습니다 여러종류의 아기 썬크림이 있던데 유해성분 제로라는 내용을 보고 선택하게 되었어요 해당 썬크림이 천연성분 유래 아기 썬크림 해외여행 가게 되어 물놀이를 위해 구입하게 되었습니다 여러종류의 아기 썬크림이 있던데 유해성분 제로라는 내용을 보고 선택하게 되었어요 해당 썬크림이 피부자극테스트에서도 0 반응 결과가 나왔다고 하니 믿고 씁니다,긍정
잘발리고 좋아요 우리 애들이 땀이 많아서 닦이거나 눈 따가울까봐 성분 착한걸 찾다가 구매했어요유해성분도 없고 잘발리고 끈적임도 별로없어서우리 꼬맹이들 잘 바르네요무기자차라 백탁현상잘발리고 좋아요 우리 애들이 땀이 많아서 닦이거나 눈 따가울까봐 성분 착한걸 찾다가 구매했어요유해성분도 없고 잘발리고 끈적임도 별로없어서우리 꼬맹이들 잘 바르네요무기자차라 백탁현상이 약간 있긴한데 비비나 베이스 정도 느낌이라 부담없이 덧바르기도 좋네요저도 썬쿠션 대신 애들 발라주다가 요걸 쓰게되네요너무 맘에 들어요 행사할때 미리 사둬야겠어요,긍정
발림성 굳 좋아요 발림성 느낌 촉촉하고 상쾌합니다처음써보는데 가격대비 좋아서 재구매의사있습니다수시로 덧발라도 좋을듯합니다 잘 스며들고 끈적임이 적습니다 자외선 차단은 실제발림성 굳 좋아요 발림성 느낌 촉촉하고 상쾌합니다처음써보는데 가격대비 좋아서 재구매의사있습니다수시로 덧발라도 좋을듯합니다 잘 스며들고 끈적임이 적습니다 자외선 차단은 실제로 얼마나될지 모르나 우선 추전합니다,긍정
아토보스 아이 선크림 4살이 되어 처음 유아 선크림을 고르는데요 제품이 안전등급이라 구매하게 되었어요배송도 빠름가격도 저렴한편은 아니나 보통인듯 하고요일단 50m라고는 하나 튜아토보스 아이 선크림 4살이 되어 처음 유아 선크림을 고르는데요 제품이 안전등급이라 구매하게 되었어요배송도 빠름가격도 저렴한편은 아니나 보통인듯 하고요일단 50m라고는 하나 튜브형이라 그런지 아닌듯해보여요바를땐 빡빡함이 느껴지지만 흘러내리지 않고 오히려 흡수부분에서는 좋네요 처음만 끈적거리지 곧 보송보송함을 유지하네요오히려 물로 지워진다는건 없다는것 효과가 없단ㄴ 거라 했는데 요 제품을 사면서 유아 클렌져도 같이 구매하게 되었디만 요 제품 만족하네요,긍정
자외선 차단지수 맘에 들어요 아기가 돌이 지나고날이 따뜻해 지면서 꽃놀이 겸 외출이 잦을 것 같은데 처음 쓰는 선크림이 뭐가 좋을까 많이 찾아 봤는데아토보스가  타 제자외선 차단지수 맘에 들어요 아기가 돌이 지나고날이 따뜻해 지면서 꽃놀이 겸 외출이 잦을 것 같은데 처음 쓰는 선크림이 뭐가 좋을까 많이 찾아 봤는데아토보스가  타 제품에 비해서 자외서차단 지수도 높지 않고차단지수가 높을수록 피부에는 더 자극적일것 같아요 자외선 차단 성분이 물리적 차단 성분으로 이루어져 있어화학적 차단 성분이 아무래도 피부에 좋지 않겠지요 아기의 연한 피부에는 좋을 것 같다는 생각에 처음 바르는 아기썬크림은 아토보스로 선택했어요 선크림은 차단지수가 높은 것을 선택해 바르는 것 보다는차단지수가 낮은 것을 선택해 장시간 자외선 노출시에는 자주 덧발라 주는게좋다고 하더라구요,긍정
물놀이 썬크림으로 만족합니다 아기물놀이 썬크림으로 구매했어요기존에 쓰던 썬크림은 발림성이나 순함이나 모두만족이긴한데물놀이를 자주가는 여름철에는 바르고 물에들어가니 순식간에 사라져물놀이 썬크림으로 만족합니다 아기물놀이 썬크림으로 구매했어요기존에 쓰던 썬크림은 발림성이나 순함이나 모두만족이긴한데물놀이를 자주가는 여름철에는 바르고 물에들어가니 순식간에 사라져서자꾸발라줘야되고 탈까봐 걱정되고했는데잘지워지지않아서 좋네요,긍정
재구매 아토보스 선크림 천연성분이 90프로 이상이라 그 부분  믿고 주문해서 추천도 잘 하는 제품이에요 하얗게 백탁이 생기는게 천연 성분이 가진 특성이라고 하는데 얇게 펴발라주면 재구매 아토보스 선크림 천연성분이 90프로 이상이라 그 부분  믿고 주문해서 추천도 잘 하는 제품이에요 하얗게 백탁이 생기는게 천연 성분이 가진 특성이라고 하는데 얇게 펴발라주면 티 안나요 얼굴의 끈적임도 시간 지나면 괜찮아지구요 피부 트러블이 나지 않는 이상은 계속 사용할거 같아요,긍정
클렌징어떻게해야하나요 아이들 발라줄땐 성분착해서 걱정없이 바를수있어 좋은데 순한클렌저로 세안했는데도 안지워지네요어른은 두번세번 닦으면되지만 아이들은 클렌징 어떻게해야하나 고민이에요클렌징어떻게해야하나요 아이들 발라줄땐 성분착해서 걱정없이 바를수있어 좋은데 순한클렌저로 세안했는데도 안지워지네요어른은 두번세번 닦으면되지만 아이들은 클렌징 어떻게해야하나 고민이에요일단 해로운성분없는건 만족입니다,부정
좋아요 후기에 백탁이 심하다고 되어있어서 걱정했는데 심하지 않고 잘 흡수 시키면 톤업크림 바른 정도 되네요 괜찮았어요 아이들 바를 려고 구매한거지만 제가 먼저 테스트 해 봤는데 좋아요 후기에 백탁이 심하다고 되어있어서 걱정했는데 심하지 않고 잘 흡수 시키면 톤업크림 바른 정도 되네요 괜찮았어요 아이들 바를 려고 구매한거지만 제가 먼저 테스트 해 봤는데 트러블 안나서 만족해요 첨엔 약간 끈적 거리는데 시간 지나면 괜찮아졌어요 향도 강하지 않아서 거부감 없었네요 만족합니다,긍정
선크림 냄새 별로안좋아하는데 이거는 향도 은은해서 괜찮고 끈적임이 없고 피부가 촉촉  쫀쫀해지는거같아요선크림 냄새 별로안좋아하는데 이거는 향도 은은해서 괜찮고 끈적임이 없고 피부가 촉촉  쫀쫀해지는거같아요4개의 포토리뷰4개의 포토리뷰4개의 포토리뷰4개의 포토리뷰,긍정
아토보스 선크림 좋아용 요새 날씨가 하도 더워서 아기 썬크림을 뭘사줘야 할지 고민하다가 아토보스꺼가 후기도 좋고 순하다는 말 듣고 사려고 했는데 마침 세일까지 해서 냉큼 주문했네요아토보스 선크림 좋아용 요새 날씨가 하도 더워서 아기 썬크림을 뭘사줘야 할지 고민하다가 아토보스꺼가 후기도 좋고 순하다는 말 듣고 사려고 했는데 마침 세일까지 해서 냉큼 주문했네요 ㅎㅎ 제발 우리 아기 트러블없이 잘 맞았으면 좋겠어요,긍정
순하고 좋아요다른 썬크림은 바르면 여드름이 올라오거나 너무 기름이 생겨서 썬크림을 잘 안발랐는데요이건 얼굴에 아무것도 안나고 좋네요계속 이용해야겠어요순하고 좋아요다른 썬크림은 바르면 여드름이 올라오거나 너무 기름이 생겨서 썬크림을 잘 안발랐는데요이건 얼굴에 아무것도 안나고 좋네요계속 이용해야겠어요2개의 포토리뷰2개의 포토리뷰,긍정
저렴해서 샀는데 유통기한이 내년 8월까지네요저렴해서 샀는데 유통기한이 내년 8월까지네요,부정
20대지만 민김성피부라 그린핑거 쓰고있는데 사과향?같은 향이 나서 좋아요 백탁현상은 사알짝 있는데 두드려주면 흡수는 잘 됩니다 배송은 적당하구요 하나 들어갈 정도의 박스20대지만 민김성피부라 그린핑거 쓰고있는데 사과향?같은 향이 나서 좋아요 백탁현상은 사알짝 있는데 두드려주면 흡수는 잘 됩니다 배송은 적당하구요 하나 들어갈 정도의 박스에 담아오네요,긍정
넘넘좋아요 굿굿!!넘넘좋아요 굿굿!!,긍정
좋아요 그린핑거샵에서 구입한 수딩젤 선크림 선팩트 두루두루 사용하기 편해 작년에 구입하고 다시 재 구입합니다 우선 끈점이 없고 피부를 생각해 주는 점이 좋아요 아이들에게 큰좋아요 그린핑거샵에서 구입한 수딩젤 선크림 선팩트 두루두루 사용하기 편해 작년에 구입하고 다시 재 구입합니다 우선 끈점이 없고 피부를 생각해 주는 점이 좋아요 아이들에게 큰 자극도 없고 자외선을 이기게 해 줘서 만족 또 만족합니다,긍정
너무너무 좋아요 야외 필수 제품 선크림 트러블 조차 없이 순한 느낌으로 아이들에게 잘 사용할 수 있는 제품을 착한 네이버 쇼핑에서 구입할 수 있어 대 만족 스럽습니다 빠른 배송과너무너무 좋아요 야외 필수 제품 선크림 트러블 조차 없이 순한 느낌으로 아이들에게 잘 사용할 수 있는 제품을 착한 네이버 쇼핑에서 구입할 수 있어 대 만족 스럽습니다 빠른 배송과 증정 품의 기쁨까지 두배의 만족을 주는 상품입니다,긍정
좋습니다 좋아요 만족합니다좋습니다 좋아요 만족합니다,긍정
배송비 더해도 오프라인보다 싸고 빠르고 터진데 없이 잘왔습니다  생각보다 상자가 컸어요배송비 더해도 오프라인보다 싸고 빠르고 터진데 없이 잘왔습니다  생각보다 상자가 컸어요,긍정
우리가족17년도때부터 그린핑거쓰는데 완전 대만족우리가족17년도때부터 그린핑거쓰는데 완전 대만족,긍정
잘 받았습니다 편하게 잘 바를 것 같아요잘 받았습니다 편하게 잘 바를 것 같아요,긍정
항상 이용하는 제품입니다 너무 좋아요항상 이용하는 제품입니다 너무 좋아요,긍정
항상 주문하는 상품입니다항상 주문하는 상품입니다,긍정
가격대비 나쁘지 않습니다가격대비 나쁘지 않습니다,긍정
좋아요배송도 빨르고좋아요배송도 빨르고,긍정
빠르게 잘 도착했어요빠르게 잘 도착했어요,긍정
보통이에요잘발리고 촉촉하고ㅠ향도 좋아요 단 물에 너무 약합니다 물놀이성은 절대 아닌것 같아요 진찌 줄줄 흐르네요 ㅠㅠ 그냥 야외활동할때 바르기에누최고입니다,부정
오늘도 잘 사용하고 있어요오늘도 잘 사용하고 있어요,긍정
유통기한이좀 짧은거 빼고는 괜찮아요,부정
피부에 자극적이지 않아서 좋네요피부에 자극적이지 않아서 좋네요,긍정
용량은 정확할테지만 속이빈 느낌이예요 처음사용하는데 이미 반사용한느낌 ㅎ 부드럽게 발리고 백탁심하지않고4살아기쓰기에 좋습니다용량은 정확할테지만 속이빈 느낌이예요 처음사용하는데 이미 반사용한느낌 ㅎ 부드럽게 발리고 백탁심하지않고4살아기쓰기에 좋습니다,부정
빠르게 배송 좋아요 간단하게 포장해서 좋아요빠르게 배송 좋아요 간단하게 포장해서 좋아요,긍정
좋아요 백탁현상 있구 물에 잘지워지는 감이있지만 아이가쓰는거라 성분에 예민해지는데 이건  그래도 순한거같아 민족합니다 용량도 그런데로 그렇게 작음편이 아니라 만족합니다좋아요 백탁현상 있구 물에 잘지워지는 감이있지만 아이가쓰는거라 성분에 예민해지는데 이건  그래도 순한거같아 민족합니다 용량도 그런데로 그렇게 작음편이 아니라 만족합니다,부정
잘받았어요  이것만구매하게되네요좋은성분들로만만들었다하여믿고사용합니다둘째가피부가예민하다보니아무래도신경쓰이네요잘받았어요  이것만구매하게되네요좋은성분들로만만들었다하여믿고사용합니다둘째가피부가예민하다보니아무래도신경쓰이네요,긍정
아직 사용전이예요ㅡ 아기 선크림은 발라주고 싶은데ㅡ아직 어려 세안이 걱정이여서눈에 들어가도 따갑지 않다해서 주문했어여 아직 사용전이예요ㅡ 아기 선크림은 발라주고 싶은데ㅡ아직 어려 세안이 걱정이여서눈에 들어가도 따갑지 않다해서 주문했어여 ,긍정
좋아요 좋아요좋아요순해요밀리지않아요백탁현상없어요아즈맘에들어요재구매의사있습니다많이파세요좋아요 좋아요좋아요순해요밀리지않아요백탁현상없어요아즈맘에들어요재구매의사있습니다많이파세요,긍정
백탁은 있습니다만 금방 스며들고요 피부가 안 좋은 저희집 아기용으로 샀는데 순한 것 같아서 좋네요 백탁은 있습니다만 금방 스며들고요 피부가 안 좋은 저희집 아기용으로 샀는데 순한 것 같아서 좋네요 ,부정
괜찮습니다 생각했던 것 ㅂㅎ다는 괜찮습니다 사실은 이전에 몇 번 사용해 보았돈 기억이 있어 다시 주문합니다괜찮습니다 생각했던 것 ㅂㅎ다는 괜찮습니다 사실은 이전에 몇 번 사용해 보았돈 기억이 있어 다시 주문합니다,긍정
좋아요 유명해서 구입했어요발림성도 좋고 기존에 팩트형 썼는데 더 편하네요올여름 잘 쓸께요좋아요 유명해서 구입했어요발림성도 좋고 기존에 팩트형 썼는데 더 편하네요올여름 잘 쓸께요,긍정
유명한 상품이라 믿고 구매했어요 아기에게 바르는거라 신경써서 주문했네요 배송도 만족합니다유명한 상품이라 믿고 구매했어요 아기에게 바르는거라 신경써서 주문했네요 배송도 만족합니다,긍정
만족합니다 맘에들어요 유행에 민감한 썬글라스 매번 바꿔쓰기도 아까워서 반신반의하면서 구입했는데 마음에 듭니다만족합니다 맘에들어요 유행에 민감한 썬글라스 매번 바꿔쓰기도 아까워서 반신반의하면서 구입했는데 마음에 듭니다,긍정
순해요 우선 백탁현상이 잇지만 순해요 백탁현상없는게 오히려 안좋다고 하잖아요 그래서 더 안심이 놓이고 그러네요 애기 썬크림바르고 세수시킬때도 덜불안하고 그래요 열심히 써볼려고요순해요 우선 백탁현상이 잇지만 순해요 백탁현상없는게 오히려 안좋다고 하잖아요 그래서 더 안심이 놓이고 그러네요 애기 썬크림바르고 세수시킬때도 덜불안하고 그래요 열심히 써볼려고요,부정
좋아요 저렴한 가격에 무료배송게다가 샘플까지 넉넉하게 넣어 주셨네요!아이들 쓰려고 샀는데피부 예민한 저도 조금씩 쓰려고요잘쓸게요!좋아요 저렴한 가격에 무료배송게다가 샘플까지 넉넉하게 넣어 주셨네요!아이들 쓰려고 샀는데피부 예민한 저도 조금씩 쓰려고요잘쓸게요!,긍정
좀 작고  살짝 번들거리긴하는데 금방흡수되고 냄세도 좋네요 좋은성분이라하니 믿고씁니다좀 작고  살짝 번들거리긴하는데 금방흡수되고 냄세도 좋네요 좋은성분이라하니 믿고씁니다,긍정
순한하고좋아요예전에 썬크림바르면  눈이따갑거나 피부가 부담을 느꼈었는데  오늘 발라보니 순해서좋아요 기능도 좋기를 바랍니다순한하고좋아요예전에 썬크림바르면  눈이따갑거나 피부가 부담을 느꼈었는데  오늘 발라보니 순해서좋아요 기능도 좋기를 바랍니다,긍정
피부약한둘째가 유일하게 트러블없이 쓸수있는 썬크림이예요  그래서 늘 믿고구매한답니다피부약한둘째가 유일하게 트러블없이 쓸수있는 썬크림이예요  그래서 늘 믿고구매한답니다,긍정
빠른 배송에 사은품도 잘 쓰겠습니다빠른 배송에 사은품도 잘 쓰겠습니다,긍정
